Chapter,SubChapter,Question,Person,Answer
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,진행자,"(1) 질문1. 요즘 어떻게 지내고 계신가요? 회사 생활, 일, 업무…어떤가요?"
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,주4일제,업무 많아요 ㅜㅠ
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,토르,정신 없어요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,ㄹㄹㄹ,클라이언트가 너무 강압적이에요...
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,콩콩이,너무 겹쳐요 일정들이
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,주4일제,밤낮이 없어요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,ㄹㄹㄹ,집-회사-야근-집-회사...
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,0101,"그냥....바빠요,,,"
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,요즘 어떻게 지내고 계신가요? 회사 생활은 어떤가요?,주디먀므,살려주세요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,진행자,(1) 질문2. 업무는 어떤가요?
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,hhh,너무 힘들어요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,토르,힘들기도 한데 재미 있을 때도 있어요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,주4일제,휴가를 다 쓸수 있을지 몰겠어요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,hhh,병원 약을 달고 살아요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,야옹이는왈왈,일이 너무할정도로 많습니다ㅠㅠ 야근은 기본이고 주말에 일할때도 많구요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,경기침체,할만해요
회사 생활 근황과 팀 내 문화 파악,최근 회사 생활,업무는 어떤가요?,주4일제,팀원들은 너무 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",진행자,"(2) 질문2. 우리 팀, 부서의 분위기는 어떤지?"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",주4일제,으쌰으쌰 너무 좋아요!!! 팀원들 덕분에 일해요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",ㄹㄹㄹ,회사 사람들은 좋은데 클라이언트가 너무....
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",자허블,우리팀 킹왕짱갓엠퍼럴최고예요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",야옹이는왈왈,본부+팀 사람들은 너무좋습니다~ 서로 토닥이며 돕는 분위기
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",hhh,"팀원들, 팀장님은 좋아요"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",칸타리안,분위기 좋습니다~!
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",당고,그냥 서로 할 일 하는 분위기..?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",토르,울 팀 다 좋아요.
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",토르,으싸 으싸 합니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",뭐라고할까,평소처럼 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",0101,회사 사람들은 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",seaaa,팀 분위기는 너무 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",?,팀 분위기는 좋아요!!
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",코인물림,사람은 정말 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",ㄹㄹㄹ,근데 다들 말이 없어져요... 피폐해져가요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",grrrr,팀 부서 분위기 다 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",SK,일이 힘드니까 서로 챙겨주려고 하는데 기력이 없는...
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",주4일제,야근메이트들 ㅎㅎㅎ
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",경기침체,"사람들은 다 좋은데, 그 좋은 사람들이 다 나가는 분위기 ㅠㅠ"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",HJ,22
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",당고,ㅋㅋㅋㅋㅋ
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",배고프다,시간이 지날수록 젊은층과 으른층이 나뉘어요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",당고,3333
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",아아,3333
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",경기침체,무관한 거 같아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",경기침체,직급/나이 상관없이 다 착하고 배려하는 마인드죠
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",토르,나이차이가 있으니 공감하는 느낌이 달라요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",주4일제,중요한 팀의 일을 잘 모를때가 있어요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",주4일제,위에서 결정하시고 갑자기 밑에서 실무를 바로 들어갈 때가 있어요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,"우리 팀, 부서의 분위기는 어떤지?",콩콩,다들 일에 치여서 너무 바쁘니 친해질 기회가 없어요 아쉬워요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,진행자,(3) 질문3. 우리 팀의 좋은 점 먼저 이야기 해볼까요?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,ㄹㄹㄹ,"클라이언트가 강압적일 때, 위에서는 그냥 OK 해버리시니 야근하며 팀장님이 조금 미울 때가 있어요"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,Cannes,(소리가 안 들려요)
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,진행자,다른 분들은 소리 다 들리시나요?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,seaaa,네 들립니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,강아지최고야,네 잘 들립니다~
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,SK,네
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,주4일제,우리 팀원들은 서로서로 도움 주고 도움 받고 있어요!
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,0101,네 잘 들립니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,뭐라고할까,저도 잘 들려요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,진행자,(3) 질문3. 우리 팀의 좋은 점 먼저 이야기 해볼까요?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,HJ,소리가 있었어요?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,진행자,노트북 볼륨 켜주세요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,토르,우리 팀은 서로 배려하고 서로 잘 하려고 합니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,당고,"고충을 이야기하거나, 일이 몰린다고 말씀드리면"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,당고,잘 경청해주시고 조율해주세요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,진행자,노트북 볼륨 켜주시고 이어폰 착용해 주시면 좋아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,야옹이는왈왈,서로를 최대한 배려해주려 항상 신경을 많이씁니다.
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,뭐라고할까,바쁠때 서로 도와주려고 하고 미리 계획된 휴가는 항상 챙겨주고 대직을 잘 해줘요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,베르,회사에서 접속 하니까.. 비밀 보장이 안되는 ;;
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,칸타리안,후배들이 착하고 귀엽습니다.
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,코인물림,팀 내에서 소통 하는게 어렵지 않아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,ㄹㄹㄹ,근데 옆자리에 팀장님이 있는.....
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,도비,일만 잘 하면 자율성이 있음
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,피카츄,222
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,seaaa,저희도요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,진행자,자율성이란?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,도비,출퇴근이나 점심시간....
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,피카츄,"출퇴근 시간, 점심시간 빡빡하지 않음"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,seaaa,"휴가나 재택하는 날, 출퇴근시간, 점심 건드리지 않아요"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,주4일제,나에게 분배된 업무만 한다면 근태에 영향 받지 않는 것
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,당고,222
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,경기침체,휴가 항상 보장해주시고 보내주려하시고
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,아아,서로 서로 잘 챙겨줍니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,뿌셔뿌셔,믿음!!
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,당고,맡은 일만 잘하면 다른 건 크게 터치하지 않으세요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,야옹이는왈왈,"재택, 휴가는 최대한 챙겨주려 노력해주십니다"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,주4일제,업무 너무 많으면 조정 잘 해주세요 팀장님께서
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,아아,22
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,HJ,휴가는 챙겨주는데 재택은.......
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,야옹이는왈왈,업무도 가능한 고르게 분배해주려 신경많이써주시구요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,HJ,팀바팀인듯요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,월요일은,잘한거 잘했다고해주고 힘든거 인정해주고 못한거 인격모독없이 피드백 주시는
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진행자,(4) 질문4. 우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점)
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),주4일제,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),ㄹㄹㄹ,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),grrrr,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),뿌셔뿌셔,9.5점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),제우스,9.5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),HJ,7
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),코인물림,10점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),야옹이는왈왈,10점 퍼펙합니다
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),주4일제,7.814점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),뭐라고할까,9.5점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),이쑤신장군,10점만점에10점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),배고프다,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),오바메양,10점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진인사대천명,9점요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),zzz...,9.9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),hhh,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),감자,9점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),토르,10
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),?,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),SK,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),퇴근할랭,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),asdiiii,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),피카츄,7
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),0505,6
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),경기침체,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),파닥,8.5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),도비,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),Kicj,6
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진행자,(4) 질문4. 우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점)
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),제우스,생각보다 점수가 높네요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),아아,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),야호,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),도르박,9점이요!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),녹차,9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),노네임,5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),0101,9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),seaaa,7~9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),10점만점에10점,닉값
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),콩콩,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),콩콩이,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,진행자,(5) 질문4-1. 이 점수를 준 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,진행자,10점 줄수 있는 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,야옹이는왈왈,"앞서 언급했듯이, 서로의 입장을 최대한 이해+존중하고 배려하는 게 너무너무 좋습니다."
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,코인물림,"팀원과의 소통, 업무 분배, 팀 관리를 하면서도 실무를 가장 잘하심"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,토르,서로 배려 해주는 부분 때문에요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,진행자,8~9점 높은 점수 줄 수 있는 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,토르,서로 믿음을 줍니다
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,뭐라고할까,"어려운 일이 있을 때 팀장님한테 말씀 드릴 수 있고, 바로 해결하실 수 없는 부분이라도 일단은 경청해서 들어주세요"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,SK,조정이 필요한 순간에 중재를 해주심
